"Bucket label","m/z","Name","Formula","BY0_000001","BY0_000002","BY0_000003","GRE3_000001","GRE3_000002","GRE3_000003","ENO1_000001","ENO1_000002","ENO1_000003","dGLO1_000001","dGLO1_000002","dGLO1_000003","GLO2_000001","GLO2_000002","GLO2_000003"
"307.0838178877 Da",308.09110,"Glutathione","C10H17N3O6S",1.482950551069462E9,1.5209140612743986E9,1.5155633443622284E9,1.2311836708318794E9,1.2052446809178283E9,1.22711735257769E9,7.151679211499052E8,7.148845261484063E8,7.031373718350972E8,5.903519174353842E8,5.864703584580216E8,5.959080435029433E8,2.87722656E8,2.914868704669684E8,2.9209206233339554E8
"555.2692975341 Da",556.27657,"Enkephalin L","C28H37N5O7",4.2196944E8,4.2196944E8,4.2196944E8,4.2196944E8,4.2196943999999994E8,4.2196944E8,4.2196944E8,4.2196944E8,4.2196944E8,4.2196944E8,4.2196944000000006E8,4.2196944E8,4.2196944E8,4.2196943999999994E8,4.2196944E8
"624.0873082632 Da",625.09457,,"C14H28N10O10S4",4.933358186428045E8,4.858228749737876E8,4.977819276477824E8,5.939112622574036E8,5.818669287057323E8,5.844022318331132E8,3.827252471688069E8,3.8348918803710604E8,3.807281536249396E8,2.709397974456813E8,2.6450760091011012E8,2.6776310009455255E8,1.31498984E8,1.3308645094446656E8,1.3209176824689865E8
"493.3168156897 Da",494.32410,"PC_16:1_9Z_0:0_","C24H48NO7P",4.026932271522385E8,4.1742138344313896E8,4.2321302444051856E8,4.742500172417162E8,4.7706470929766697E8,4.894068504565626E8,8.762350637659627E7,8.903743800964613E7,8.863884692480217E7,8.300220673347463E7,8.356743704015867E7,8.238210256999354E7,5.6428384E7,5.80936784293129E7,5.93396828212094E7
"257.1028750516 Da",258.11016,"Glycerophosphocholine","C8H20NO6P",2.0567321433179787E8,2.0528675604614592E8,2.1179445815299493E8,2.113429682599316E8,1.9935176511183503E8,2.0698644672278404E8,2.0301507904007995E8,1.9995643959656847E8,1.9302957437353092E8,1.2120089091005626E8,1.165594754421165E8,1.169340687778416E8,5.9549848E7,6.1130701321984485E7,6.2271508882250816E7
"780.1092067055 Da",781.11647,,"C21H33N8O18PS2",1.2842031168480319E8,1.2466098109845702E8,1.3147677674883252E8,1.509135019819216E8,1.538552275992594E8,1.4791852069041848E8,9.888932133245887E7,1.0000643892551272E8,9.630288069087496E7,6.675784099583527E7,6.744661674680413E7,7.063487987086299E7,3.36188E7,3.2818811185215257E7,3.35646374308503E7
"347.0630811124 Da",348.07036,"Adenosine monophosphate","C10H14N5O7P",1.335234837516531E8,1.3618034647289234E8,1.4395071112504494E8,1.4834050251663217E8,1.409530689777726E8,1.4138609860338554E8,8.750921476127559E7,8.748057864566089E7,8.660054239641479E7,6.171272933174997E7,6.293010518370332E7,6.235511562522907E7,3.436016E7,3.608367937411979E7,3.62249922302554E7
"254.2246098628 Da",255.23190,"Hypogeic acid","C16H30O2",3.768004201289834E7,6.75593485660521E7,7.409343869442512E7,2.5965538748138268E7,4.509098341466684E7,7.33723068918946E7,3.0142584135378502E7,7.357830003404556E7,8.32584465420852E7,5.520110439632201E7,5.7320339932106994E7,5.9353893004829116E7,9995730.0,1.3795221080978837E7,1.9508882313493E7
"625.0869294704 Da",626.09416,,"C19H39N5O2S8",9.599503120735191E7,9.549250365037799E7,9.364796482819395E7,1.1766580202608104E8,1.1361659621787296E8,1.1393196560150069E8,7.22747666220831E7,7.628569401524347E7,7.452639865867122E7,5.410781098578899E7,5.085268154470768E7,5.286232075802965E7,2.5419526E7,2.5551905259985518E7,2.5192250257473513E7
"663.1091419334 Da",664.11641,"Fenugreekine","C21H27N7O14P2",8.20324780522131E7,9.33178765045246E7,9.432271880099644E7,1.3039616766769284E8,1.1990988222339693E8,1.1900111149718764E8,6.225579373770207E7,6.658032584168591E7,6.5825381021139376E7,4.419066090084284E7,4.422023669054734E7,4.351186311526165E7,2.6483844E7,2.7224794040244363E7,2.5357564562734127E7
