"Bucket label","m/z","Name","Formula","BY0_000001","BY0_000002","BY0_000003","GRE3_000001","GRE3_000002","GRE3_000003","ENO1_000001","ENO1_000002","ENO1_000003","dGLO1_000001","dGLO1_000002","dGLO1_000003","GLO2_000001","GLO2_000002","GLO2_000003"
"307.0838178877 Da",308.09110,"Glutathione","C10H17N3O6S",3.9104288E8,3.9800368E8,3.99481952E8,2.709064E8,2.7102352E8,2.74854272E8,2.55276736E8,2.51610656E8,2.51024624E8,2.83822048E8,2.85664416E8,2.95673952E8,2.87722656E8,2.877496E8,2.90416512E8
"555.2692975341 Da",556.27657,"Enkephalin L","C28H37N5O7",1.1127016E8,1.10423984E8,1.11225424E8,9.284904E7,9.488832E7,9.4514272E7,1.50620544E8,1.48516304E8,1.5064584E8,2.02869216E8,2.05537504E8,2.09370176E8,4.2196944E8,4.165592E8,4.19548864E8
"624.0873082632 Da",625.09457,,"C14H28N10O10S4",1.30088936E8,1.27133608E8,1.31208568E8,1.30682664E8,1.30844488E8,1.30896568E8,1.36612464E8,1.349728E8,1.35922432E8,1.30259064E8,1.28839264E8,1.32857032E8,1.31498984E8,1.31380096E8,1.3133404E8
"493.3168156897 Da",494.32410,"PC_16:1_9Z_0:0_","C24H48NO7P",1.06187168E8,1.09233816E8,1.11553216E8,1.0435272E8,1.072776E8,1.09619152E8,3.127691E7,3.1337604E7,3.1644646E7,3.9904768E7,4.0704944E7,4.087584E7,5.6428384E7,5.7348836E7,5.8999288E7
"257.1028750516 Da",258.11016,"Glycerophosphocholine","C8H20NO6P",5.4234476E7,5.3720908E7,5.5826148E7,4.6503348E7,4.4828256E7,4.6361588E7,7.2465536E7,7.037664E7,6.8912816E7,5.8269456E7,5.6775068E7,5.801962E7,5.9549848E7,6.034692E7,6.1914296E7
"780.1092067055 Da",781.11647,,"C21H33N8O18PS2",3.3863468E7,3.2622178E7,3.4655496E7,3.3206608E7,3.4597444E7,3.3131336E7,3.5298204E7,3.5198252E7,3.4380756E7,3.2095004E7,3.2852638E7,3.5047176E7,3.36188E7,3.2398028E7,3.3372098E7
"347.0630811124 Da",348.07036,"Adenosine monophosphate","C10H14N5O7P",3.5209136E7,3.5636648E7,3.7943456E7,3.2640452E7,3.1696134E7,3.166818E7,3.1236114E7,3.0789652E7,3.0916958E7,2.9669478E7,3.0652686E7,3.0938974E7,3.436016E7,3.5621036E7,3.6017192E7
"254.2246098628 Da",255.23190,"Hypogeic acid","C16H30O2",9935943.0,1.7679414E7,1.9530026E7,5713388.5,1.0139615E7,1.64342E7,1.0759292E7,2.5896608E7,2.9723808E7,2.65389E7,2.792022E7,2.9449846E7,9995730.0,1.3618347E7,1.9396972E7
"625.0869294704 Da",626.09416,,"C19H39N5O2S8",2.5313166E7,2.4989162E7,2.4684334E7,2.5890872E7,2.5548978E7,2.5518902E7,2.579823E7,2.6849502E7,2.660641E7,2.601328E7,2.4769882E7,2.6228898E7,2.5419526E7,2.5224294E7,2.5047738E7
"663.1091419334 Da",664.11641,"Fenugreekine","C21H27N7O14P2",2.1631346E7,2.442009E7,2.486219E7,2.8692028E7,2.696415E7,2.6654308E7,2.2221992E7,2.3433602E7,2.350009E7,2.1245436E7,2.1539278E7,2.1589446E7,2.6483844E7,2.6875734E7,2.5212104E7
"308.1987698818 Da",347.16191,"Methylgingerol","C18H28O4",1.0152521E7,9649309.0,1.0308534E7,9737496.0,9213201.0,9811192.0,1.09269E7,1.1388871E7,1.1159737E7,1.0438402E7,9701140.0,1.0196899E7,9934596.0,1.0031285E7,1.037931E7
"451.2698866023 Da",452.27715,"PE_16:1_9Z_0:0_","C21H42NO7P",2.6716496E7,2.7015212E7,2.6075598E7,2.709244E7,2.844699E7,2.7531122E7,7292958.5,8279520.0,7890920.5,8497353.0,8705181.0,8673767.0,1.5922978E7,1.6248199E7,1.628284E7
"626.0839768677 Da",627.09143,,"C23H27N6O7PS3",1.6520648E7,1.6725084E7,1.6433092E7,1.7521712E7,1.783948E7,1.7421402E7,1.8931268E7,1.8159956E7,1.8233214E7,1.7347352E7,1.6341755E7,1.8109702E7,1.662365E7,1.7321018E7,1.771046E7
"256.2402073027 Da",257.24756,"2-hydroxyhexadecanal","C16H32O2",1.302315E7,1.4796475E7,1.4909355E7,1.1299413E7,1.0449118E7,1.1080375E7,1.4161624E7,1.7718066E7,1.9834536E7,1.7792194E7,1.898103E7,2.0159478E7,1.3851696E7,1.2632812E7,1.3149351E7
"342.2882560363 Da",343.29553,,"C19H38N2O3",1.0722807E7,1.0665006E7,1.0202277E7,1.5457759E7,1.4903436E7,1.5212897E7,7922509.0,7078849.0,7408468.5,1.0700306E7,1.0879084E7,1.119331E7,1.0185464E7,9614355.0,9566350.0
"479.3011671946 Da",480.30844,"PE_18:1_9Z_0:0_","C23H46NO7P",1.8454414E7,1.9117214E7,1.8455632E7,1.3156325E7,1.4807588E7,1.4351103E7,3353960.25,3417498.5,3610428.75,5841725.0,5159937.5,5156516.0,1.0534304E7,1.0643937E7,1.1351111E7
"624.0890214070 Da",625.09622,,"C31H32N2S6",1.1375222E7,1.0685195E7,1.0516478E7,1.0661245E7,1.0958529E7,1.0982549E7,1.1357931E7,1.1534575E7,1.0961313E7,1.0910795E7,1.0875774E7,1.1203355E7,1.1016674E7,1.110506E7,1.0795446E7
"497.2753872161 Da",498.28264,"PS_16:0_0:0_","C22H44NO9P",7485155.5,8279420.5,7445193.0,5321014.0,1.2991668E7,1.4886759E7,5695836.5,1.0854645E7,1.0411432E7,1.0563309E7,1.1084158E7,1.0818435E7,8126150.0,1.2788672E7,1.3428931E7
"330.2770157386 Da",331.28429,"1-monohexadecanoylglycerol","C19H38O4",4439750.5,5227712.0,5682736.5,1634147.375,4636765.5,6145032.5,3605097.75,6878963.0,6961540.0,7638746.5,7599310.0,7914118.0,3312199.0,5414894.0,6742448.0
"612.2907258755 Da",613.29805,,"C30H40N6O8",5204911.0,4577291.5,4377497.0,4556668.0,4859502.5,4271795.5,6143929.5,5974583.0,6085951.0,8770072.0,9005252.0,9615969.0,1.7787832E7,1.792256E7,1.8054792E7
"495.2597101548 Da",496.26699,,"C22H42NO9P",6487999.5,7746119.5,6986744.0,6410592.5,8757526.0,9297153.0,6016070.5,7622032.0,7020322.5,8577055.0,8549692.0,9224744.0,7875865.0,9030373.0,9059247.0
"243.1834057892 Da",244.19078,"N-Undecanoylglycine","C13H25NO3",5073261.0,4745095.0,5162289.0,5746517.5,5688044.5,5458169.0,3700115.75,3878004.75,3859651.25,5253450.5,5993997.5,6127274.5,5295285.5,5137759.0,4842269.0
"495.3324288114 Da",496.33977,"PC_16:0_0:0_","C24H50NO7P",8834808.0,9765982.0,9539413.0,1.2666249E7,1.4044729E7,1.515928E7,2938893.0,2621312.5,2825162.75,3679703.5,3941414.75,4085389.25,5537805.0,6114253.0,6681889.0
"278.1518329659 Da",317.11497,"alpha-CEHC","C16H22O4",3664601.5,3806154.5,4267497.0,3589865.0,3018712.0,2921659.75,4043070.25,3740928.75,3678877.25,3091369.0,3283871.5,2859564.5,5298218.5,4295661.5,4110085.75
"342.1162150702 Da",381.07936,"Melibiose","C12H22O11",2403849.25,2585576.0,2518167.5,3407534.25,3799051.5,3436639.0,9873639.0,1.0274991E7,1.0577288E7,3410924.75,3384419.0,3596296.5,2637734.5,3040417.25,2814416.0
"612.1521003808 Da",613.15925,"Oxidized glutathione","C20H32N6O12S2",8346522.0,9444868.0,8050650.5,7266309.0,7159906.0,6846504.5,4569905.0,5101075.0,4209305.0,6832519.0,6919867.0,7693724.0,6187379.5,5608552.0,5458674.0
"370.3195356798 Da",371.32681,,"C21H42N2O3",5739323.0,5805456.0,5460199.0,8380326.0,7919189.5,8533628.0,3510003.0,3260551.5,3340431.75,5343838.0,5755691.5,5817356.0,4828855.0,5014439.0,5098160.5
"521.3481349926 Da",522.35540,"LysoPC_18:1_9Z_","C26H52NO7P",1.0333976E7,1.0064794E7,9636086.0,7244028.0,8618925.0,8243229.0,2635155.25,2825726.5,2723325.75,3435893.75,3404257.75,3068176.0,3916592.5,4220575.5,4996199.5
"467.3010905176 Da",468.30845,"LysoPC_14:0_0:0_","C22H46NO7P",6911753.0,7075315.5,7010245.5,7347921.0,7532945.5,7741329.0,2138209.0,1932258.625,2352802.75,3192586.5,3358736.5,3346130.0,4636988.5,5229386.5,5133969.5
"361.2041851366 Da",400.16732,,"C24H27NO2",6459127.0,9609170.0,9833365.0,0.0,1249956.125,2442271.0,925486.6875,2326086.5,3482275.5,8399759.0,8626503.0,9461071.0,1887036.125,3897977.25,5950355.5
"541.0610878842 Da",542.06839,,"C15H21N5O13P2",3599452.0,3489189.75,3695114.75,4150577.25,4242008.0,4194010.25,5233338.0,5511250.0,5137616.5,3716040.25,3538767.5,3879003.25,4193858.0,4778967.5,4650693.5
"215.0558713098 Da",216.06306,"Glycerylphosphorylethanolamine","C5H14NO6P",3461660.5,3361338.25,3334594.5,3601418.25,3388231.75,3597512.75,4622090.0,4702534.5,4657054.0,4291483.0,3953243.5,3616954.5,4567414.0,4829330.5,4650668.0
"624.0900788783 Da",625.09723,,"C18H32N4O12S4",4119491.5,4696253.5,4439128.0,4344167.0,4223571.0,4733031.0,4711265.0,4757563.5,4969175.0,4487803.0,4405162.0,4366924.5,4402919.0,4417216.5,4420536.0
"310.1780385219 Da",311.18531,"3-Hydroxy-6,8-dimethoxy-7_11_-eremophilen-12,8-olide","C17H26O5",1895786.125,1861851.25,1870122.75,2118448.25,1927784.5,2007037.5,3303191.5,3543275.5,3091665.5,2365742.75,2159640.0,2279765.5,2343020.5,2206665.0,2364619.0
"228.2088971606 Da",229.21627,"Myristic acid","C14H28O2",2968595.75,3431460.0,3381900.25,2529078.25,2920647.5,3270898.5,3594902.0,4011574.75,4190502.5,4236500.5,4103665.0,4167737.0,4195978.5,4253581.5,4635723.5
"282.2558879557 Da",283.26317,"Oleic acid","C18H34O2",2204752.5,2860187.0,3007005.0,1894506.125,2368833.25,2636757.0,3113933.75,4274368.5,5982626.5,5898274.5,6828875.0,7895652.5,2725152.5,2641426.75,3000338.5
"414.2464998916 Da",453.20966,,"C18H38O10",2521576.0,2471843.5,2503704.5,3649057.5,3358549.25,3331191.0,1975456.0,1847404.875,2209096.5,2461718.0,2616160.0,2585347.75,2712561.5,2488172.5,2297709.0
"370.2202682790 Da",409.18343,"Octaethylene glycol","C16H34O9",2521704.0,2638522.25,2646374.75,3632653.0,3358478.0,3457204.75,2442329.75,1837939.125,1988382.25,2565219.0,2660682.0,2593068.25,2757278.75,2482297.75,2525421.5
"312.1759380840 Da",313.18322,"N-Undecylbenzenesulfonic acid","C17H28O3S",2193681.25,2269839.25,2684090.25,0.0,796740.375,1530220.75,0.0,1255018.625,2538440.5,1596125.625,1821118.5,1836453.875,4688607.0,1.1704049E7,1.5273271E7
"242.2245493667 Da",243.23193,"Isopentyl decanoate","C15H30O2",3133250.75,3596127.25,3836343.75,1960734.0,2326454.5,3038663.5,3401329.25,4061162.0,3639517.25,4544310.0,4565926.5,4533977.5,3494067.5,3704437.75,4026415.5
"458.2726909719 Da",497.23585,,"C20H42O11",2295023.5,2301079.25,2255874.25,3328162.25,3016645.5,3067469.25,1786621.125,1755337.25,1691802.5,2155360.75,2292952.25,2075404.75,2304850.0,2118311.5,2253526.0
"227.1886033179 Da",228.19586,,"C13H25NO2",3022507.5,3268912.5,3230276.5,2073234.625,2242223.75,2417092.5,2579517.25,2516789.25,2410988.0,3555646.0,3765643.25,4089061.25,2075059.625,1985279.625,2089296.625
"326.1940672306 Da",365.15723,"Heptaethylene glycol","C14H30O8",2092235.75,1950610.75,2113303.25,2950858.0,3040107.25,2969233.5,1772010.125,1891143.0,2083801.5,2268361.75,2381648.75,2420979.0,2429970.75,2461405.5,2306106.0
"276.1725599036 Da",315.13572,"Cyclandelate","C17H24O3",1942122.375,1925484.375,2000094.75,2115896.5,2173915.0,2421939.5,2345839.75,2123513.0,2152723.25,2113941.75,1940769.125,1981501.875,2181491.75,2294086.75,1867221.75
"358.3083016352 Da",359.31559,"MG_18:0_0:0_0:0_","C21H42O4",965959.4375,2142545.25,2553964.25,0.0,575138.9375,1073305.25,0.0,2036643.0,3577121.25,5345708.5,5663620.0,5977043.5,547970.8125,828102.125,1556779.375
"390.2770064901 Da",391.28428,"12-Ketodeoxycholic acid","C24H38O4",1157007.25,2626821.0,4155887.5,0.0,0.0,0.0,970486.5,1448467.375,1457191.625,3325848.25,4212825.0,4464762.0,2227936.75,2006098.375,2301781.0
"406.3294279086 Da",429.31865,,"C22H46O6",1613746.875,1739630.25,1768432.625,2330382.75,3045182.75,4041857.5,0.0,596096.75,554341.75,2207850.75,2433259.5,2699864.0,1018033.8125,1314771.0,1379185.625
"450.3556320510 Da",489.31879,,"C24H50O7",1803919.5,2061597.625,2094069.875,1857252.375,3292327.0,3620106.75,690012.6875,920540.25,1052844.25,2391749.0,2835696.5,2639535.0,1211389.25,1406374.625,1233666.375
"243.0871382835 Da",244.09452,,"C7H18NO6P",2737608.25,2815827.5,2681046.25,2627116.0,2641339.5,0.0,1920027.25,0.0,1980495.75,1957226.75,0.0,2175680.75,4712459.5,4203724.5,4482928.0
"337.3344708299 Da",338.34175,,"C22H43NO",997839.5,1416121.5,1487748.375,661759.6875,586982.25,648409.75,1306357.625,1877861.75,2523894.0,7138252.5,1.0187535E7,1.3378975E7,695029.5,0.0,635915.875
"502.2989119336 Da",541.26209,,"C22H46O12",1614949.375,2260176.75,2018775.875,2240859.25,2503614.25,2620997.75,1407691.625,1497814.625,1667359.5,1867638.75,2066804.0,1685477.125,1674677.375,1652263.375,1810417.5
"326.1915737835 Da",327.19884,"2-Dodecylbenzenesulfonic acid","C18H30O3S",1458129.5,2927418.75,2889703.0,0.0,0.0,815800.25,0.0,0.0,1794937.125,1261773.0,1768481.125,2179578.75,2741162.0,6970451.0,1.4232707E7
"453.2855021083 Da",454.29281,"PE_16:0_0:0_","C21H44NO7P",2888091.0,3345752.25,3216292.5,6327380.0,7199929.0,7183862.0,1077133.125,929521.125,915911.0,1213547.625,1570198.125,1392526.125,2929475.5,2749352.25,2660258.75
"361.2464368707 Da",362.25371,,"C18H35NO6",555464.3125,0.0,659096.6875,9530501.0,1.0060786E7,1.0126743E7,631555.375,604441.375,0.0,1362906.125,1026554.25,1267753.75,735673.125,942758.9375,715699.5
"554.2857966959 Da",555.29288,,"C25H47O11P",1336664.625,1613769.125,1275530.75,980053.875,2636354.25,3135335.75,1557612.375,5794338.5,5164354.0,4096815.75,3681103.5,4076439.0,2201586.5,3250244.0,3637372.75
"523.0503892546 Da",524.05780,,"C15H19N5O12P2",2539964.25,2069054.75,2438671.75,3263812.5,2798739.0,2875558.25,3575613.0,3264118.75,3413508.5,2750826.75,2107588.25,2457078.0,3014622.5,3281392.5,2880760.0
"414.2042741124 Da",453.16740,"Eplerenone","C24H30O6",2748648.0,2812057.75,2638133.25,2517095.75,2298974.5,2429053.75,2553558.0,2450921.75,2311492.5,2811304.5,2721099.75,2787301.75,2664294.5,2595914.25,2401362.25
"385.3191962792 Da",424.28236,"Pentadecanoylcarnitine","C22H43NO4",787854.875,1653161.75,2541451.0,0.0,0.0,0.0,818796.8125,1411503.75,2457815.75,6591708.0,8960073.0,1.080076E7,0.0,0.0,0.0
"494.3818343586 Da",533.34501,,"C26H54O8",1917071.0,1876858.375,2321798.5,1770855.0,3068750.5,3062307.75,645078.875,578785.6875,797707.3125,2635020.0,2778390.5,2293261.75,874871.1875,1303762.25,1312950.0
"465.2854445078 Da",466.29280,"LysoPC_14:1_9Z_","C22H44NO7P",4289690.0,4707203.5,4921991.0,3477599.0,3528051.5,3389323.75,949903.25,1084256.375,1041708.0625,1850834.0,1706248.5,1796333.5,2560152.75,2507489.75,2457031.25
"587.1330269877 Da",626.09613,,,3622240.0,4034542.75,4302743.5,3857381.0,3668682.75,3789407.25,4166899.25,3772931.25,4208048.5,3917801.5,3748276.25,4125851.25,3627395.25,3956354.0,3942253.5
"555.2729364769 Da",556.28003,,"C18H49N7O4S4",0.0,1772710.75,0.0,2119045.75,2102970.0,1410213.125,2288672.0,2003202.875,1681351.875,2782142.25,2950057.25,2769679.5,5753180.5,5449838.0,5785229.5
"452.3362423549 Da",475.32546,,"C24H44N4O4",1043460.3125,1174079.0,1166670.75,1472282.0,1209872.0,1700855.125,1103719.125,787014.8125,1133294.25,1254074.625,1279621.75,1105382.625,1381607.0,1213878.375,1441517.125
"362.3032097760 Da",385.29243,,"C20H42O5",1137739.875,1346962.5,1441632.125,1417299.75,2003623.75,1921074.25,0.0,0.0,0.0,1584844.875,1435704.75,1654889.75,765614.8125,793594.0625,1103252.125
"324.1936900539 Da",363.15686,"Lactapiperanol D","C18H28O5",1244460.375,1284417.5,1492374.125,1269337.25,1329344.5,1327713.125,1475373.75,1498337.25,1715970.875,1455435.125,1362877.5,1376451.25,1351798.375,1409274.625,1466138.375
"238.1416011701 Da",277.10479,,"C10H22O6",990946.9375,1192566.125,1092776.0,3408579.5,3972526.25,3616073.5,852603.0,935059.625,860232.4375,1080707.75,1201021.625,1179058.625,903614.3125,999770.625,948430.5
"464.3712898982 Da",503.33443,,"C25H52O7",1679685.25,1583137.625,1597707.875,1276347.875,1570175.0,1948351.125,536915.0,645933.3125,751267.6875,752563.75,1117738.0,1099898.75,773997.0,628727.9375,1025122.625
"508.3974863465 Da",547.36068,,"C27H56O8",1635699.25,1613106.0,1809598.875,1413831.375,1973981.75,2473593.75,847076.5625,841247.1875,1152413.125,1053489.375,1488443.0,1354513.5,804202.0625,828391.375,0.0
"538.4081177151 Da",577.37126,,"C28H58O9",1400383.625,1532327.625,1714358.375,0.0,2059664.5,3000116.75,0.0,0.0,946625.0,2176702.25,2357120.0,2315192.25,907371.8125,1133050.25,813922.875
"282.1678671866 Da",321.13101,"Hexaethylene glycol","C12H26O7",1306979.625,1381369.75,1291812.75,2362053.25,2092335.625,2323785.0,1128251.75,970035.25,1525797.375,1457212.375,1332662.5,1589003.25,1376044.5,1689736.125,1392221.125
"546.3250624878 Da",585.28833,,"C24H50O13",0.0,0.0,1347193.25,1710378.125,1817300.25,1948750.375,995430.75,830065.875,1088808.875,1429076.0,1141414.875,1500390.875,1403805.125,1421329.875,1341685.0
"318.2770303910 Da",341.26625,,"C18H38O4",923220.3125,1155533.125,1110851.5,1003384.8125,1129180.625,1491152.0,0.0,0.0,0.0,1214077.5,994619.75,1159095.625,0.0,613109.3125,599202.75
"219.9895702013 Da",220.99695,,"C4H12O4S3",3287546.25,2933528.5,3322199.5,1367119.875,1463533.25,1151389.625,977098.5625,1007035.375,903588.625,1373243.0,1542183.5,1353050.5,1801020.375,1459550.375,1523434.125
"420.3450690806 Da",443.33429,,"C23H48O6",1292665.25,1419861.5,1137976.625,1373622.875,1592183.625,1940691.875,0.0,0.0,684614.0625,864929.1875,959897.4375,1147191.75,889339.25,974117.3125,979283.1875
"286.2143456700 Da",325.17759,"Hexadecanedioic acid","C16H30O4",905600.0625,1100785.75,1435386.0,1065046.875,823301.375,1180386.125,799181.125,990407.4375,941969.375,1748110.125,1557166.875,1590140.625,1149644.375,1111814.5,1078936.25
"194.1153114956 Da",233.07846,"Tetraethylene glycol","C8H18O5",0.0,0.0,0.0,1892766.625,2107290.25,1957286.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"480.2159175106 Da",503.20514,,"C18H41O10PS",1122035.5,1372484.375,1047073.3125,548523.5,1973971.5,2515621.0,0.0,952937.4375,758984.25,1461577.125,1381833.375,1490066.125,998890.5625,1299823.75,1062319.625
"328.2613558341 Da",367.22454,"MG_16:1_11Z_0:0_0:0_0:0_","C19H36O4",739406.1875,1268141.625,1029613.125,0.0,0.0,809397.5,661530.125,1249378.375,1735991.875,1483999.875,1372638.625,1633704.375,0.0,882809.0625,949992.1875
"579.0081034776 Da",580.01532,,"C22H9N7O11S",2462415.5,2217829.75,2238326.25,1389445.875,1061586.75,1334485.375,1108078.875,1168393.5,1421504.625,1241566.0,0.0,1564077.5,2088346.25,1777246.0,2025376.375
"552.4237092101 Da",591.38683,,"C29H60O9",1500955.375,1581119.125,1523140.5,764245.1875,1368020.25,1820595.875,1250438.375,1121004.75,872080.125,1221610.0,992733.625,0.0,946329.0625,0.0,1032530.1875
"298.2508367981 Da",299.25808,"3-Oxooctadecanoic acid","C18H34O3",837054.75,1090824.125,965750.1875,637214.8125,1016603.6875,1216573.125,859585.0625,1396943.875,1220570.0,1307338.625,1214455.75,1580331.375,788471.4375,1023288.75,1015593.375
"618.2147929125 Da",657.17793,,"C17H38N12O7S3",1002785.25,0.0,1307589.875,0.0,1076759.5,0.0,1193931.75,1007620.625,0.0,1498724.0,1071809.75,1270826.375,0.0,932378.0,1109830.25
"255.2280190884 Da",256.23526,,,1691671.5,2994510.25,0.0,0.0,1836732.375,0.0,1877463.5,4267320.0,5068461.5,0.0,4507091.0,0.0,0.0,0.0,0.0
