Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,test_peaks
112.45363,0,0,0,0,0,0,0,0,,None,113.46090646688,0,0,5620136.5
112.813673,0,0,0,0,0,0,0,0,,None,113.82094946688,0,0,41591812
117.746324,0,0,0,0,0,0,0,0,,None,118.75360046688,0,0,1267222.9
117.929715,0,0,0,0,0,0,0,0,,None,118.93699146688,0,0,2812275
118.362312,0,0,0,0,0,0,0,0,,None,119.36958846688,0,0,19251212
120.286702,0,0,0,0,0,0,0,0,,None,121.29397846688,0,0,1269835.6
121.529592,0,0,0,0,0,0,0,0,,None,122.53686846688,0,0,1207822.6
121.938849,0,0,0,0,0,0,0,0,,None,122.94612546688,0,0,1217919.6
122.157389,0,0,0,0,0,0,0,0,,None,123.16466546688,0,0,1237320.3
123.224253,0,0,0,0,0,0,0,0,,None,124.23152946688,0,0,1321361
123.541196,0,0,0,0,0,0,0,0,,None,124.54847246688,0,0,1189990.6
123.827289,0,0,0,0,0,0,0,0,,None,124.83456546688,0,0,1248209.9
124.05709,0,0,0,0,0,0,0,0,,None,125.06436646688,0,0,1265922.1
124.495451,0,0,0,0,0,0,0,0,,None,125.50272746688,0,0,1486651.8
124.947,0,0,0,0,0,0,0,0,,None,125.95427646688,0,0,1210949.1
125.299491,0,0,0,0,0,0,0,0,,None,126.30676746688,0,0,1238223.5
125.704261,0,0,0,0,0,0,0,0,,None,126.71153746688,0,0,1308355.8
125.708065,0,0,0,0,0,0,0,0,,None,126.71534146688,0,0,1270883.5
125.712513,0,0,0,0,0,0,0,0,,None,126.71978946688,0,0,1253211.4
125.712892,0,0,0,0,0,0,0,0,,None,126.72016846688,0,0,1211043.3
125.714477,0,0,0,0,0,0,0,0,,None,126.72175346688,0,0,1200903.3
125.715226,0,0,0,0,0,0,0,0,,None,126.72250246688,0,0,1317707.3
125.734023,0,0,0,0,0,0,0,0,,None,126.74129946688,0,0,1299946.3
125.746143,0,0,0,0,0,0,0,0,,None,126.75341946688,0,0,1254833.8
125.806655,0,0,0,0,0,0,0,0,,None,126.81393146688,0,0,1262938.8
125.808387,0,0,0,0,0,0,0,0,,None,126.81566346688,0,0,1383786.6
125.816831,0,0,0,0,0,0,0,0,,None,126.82410746688,0,0,1380298.3
125.826009,0,0,0,0,0,0,0,0,,None,126.83328546688,0,0,1263005.9
125.833048,0,0,0,0,0,0,0,0,,None,126.84032446688,0,0,1191133.5
125.848728,0,0,0,0,0,0,0,0,,None,126.85600446688,0,0,1310264.8
125.854164,0,0,0,0,0,0,0,0,,None,126.86144046688,0,0,1922604.5
125.869117,0,0,0,0,0,0,0,0,,None,126.87639346688,0,0,1213683.8
125.885014,0,0,0,0,0,0,0,0,,None,126.89229046688,0,0,1286267
125.902477,0,0,0,0,0,0,0,0,,None,126.90975346688,0,0,1212058.1
126.560963,0,0,0,0,0,0,0,0,,None,127.56823946688,0,0,1201139
127.819778,0,0,0,0,0,0,0,0,,None,128.82705446688,0,0,1214630.9
128.193849,0,0,0,0,0,0,0,0,,None,129.20112546688,0,0,1207139.3
128.277715,0,0,0,0,0,0,0,0,,None,129.28499146688,0,0,1215727.9
128.313412,0,0,0,0,0,0,0,0,,None,129.32068846688,0,0,1207682.4
129.177874,0,0,0,0,0,0,0,0,,None,130.18515046688,0,0,1254764.9
129.445499,0,0,0,0,0,0,0,0,,None,130.45277546688,0,0,1257003.3
129.876684,0,0,0,0,0,0,0,0,,None,130.88396046688,0,0,1224036.4
130.220698,0,0,0,0,0,0,0,0,,None,131.22797446688,0,0,1210509.1
130.588302,0,0,0,0,0,0,0,0,,None,131.59557846688,0,0,1206057.9
130.728598,0,0,0,0,0,0,0,0,,None,131.73587446688,0,0,1280169.8
131.269598,0,0,0,0,0,0,0,0,,None,132.27687446688,0,0,1308307
131.697248,0,0,0,0,0,0,0,0,,None,132.70452446688,0,0,1203208.6
131.760818,0,0,0,0,0,0,0,0,,None,132.76809446688,0,0,1193959.1
132.108805,0,0,0,0,0,0,0,0,,None,133.11608146688,0,0,1204415.8
132.15487,0,0,0,0,0,0,0,0,,None,133.16214646688,0,0,1187734.8
132.476862,0,0,0,0,0,0,0,0,,None,133.48413846688,0,0,1199752.8
132.765838,0,0,0,0,0,0,0,0,,None,133.77311446688,0,0,1194379.9
132.907915,0,0,0,0,0,0,0,0,,None,133.91519146688,0,0,1285065.6
