"","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"Label","KO","KO","KO","KO","KO","KO","WT","WT","WT","WT","WT","WT"
"200.1/2925.48","147887.53","451600.71"," 65290.39"," 24561.89"," 24561.89","162012.44","175177.08"," 82619.48"," 24561.89"," 69198.22","153273.47"," 98144.28"
"205/2790.89","1778569","1567038","1482796","1039130","1223132","1072038","1950287","1466781","1572679","1275313","1356014","1231442"
"205.983/2787.77","237993.62","269713.98","201393.42","150107.31","176989.65"," 24561.89","276541.85"," 24561.89"," 24561.89"," 24561.89"," 24561.89","172348.76"
"206/2792.46"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","156797.04"," 24561.89","222366.15","211717.71","186850.88","188285.94"," 24561.89"
"207.085/2719.69","380873.05","460629.74","351750.14"," 24561.89"," 24561.89","235022.63","417169.59"," 24561.89","277990.70"," 24561.89","252874.01","236728.16"
"219.092/2524.85","235544.92"," 24561.89"," 24561.89"," 24561.89","185792.43"," 24561.89","244584.47","161184.05"," 24561.89"," 24561.89","238194.38"," 24561.89"
"231.024/2515.46"," 24561.89"," 24561.89","222609.07","286232.15","435094.49"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"
"233.0375/3020.94","399145.34","356951.31","410550.66"," 24561.89"," 24561.89","317805.79","397107.78"," 24561.89","334459.93"," 24561.89"," 24561.89"," 24561.89"
"236.102/2523.29","252282.04","206031.93"," 71763.79"," 24561.89","186660.98","198804.28","253791.07"," 24561.89"," 24561.89"," 24561.89","256263.26","206486.98"
"241.124/3676.66","  24561.89","1318746.57","1215368.74"," 632037.43","  24561.89"," 561964.93","1468102.64","1594705.06","  24561.89"," 805533.20"," 731777.65"," 522916.14"
"242.1405/3675.88","280767.61","248792.38"," 24561.89","109019.43"," 24561.89"," 24561.89","280260.24","299453.21"," 24561.89","139748.30","139968.46"," 95347.85"
"244.1/2832.37"," 612169.85"," 256316.47","  90539.86","  24561.89","  24561.89"," 115505.42"," 627834.97","  24561.89"," 168524.49","  24561.89"," 110170.73","1352929.86"
"249.1155/3668.05","  24561.89","1228148.16","  24561.89"," 641881.76"," 536808.26"," 574005.71","1297985.82","  24561.89","  24561.89","  24561.89","  24561.89"," 485427.60"
"249.1525/3667.27","1435000.72","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","1076654.09"," 747969.41"," 688496.33","  24561.89"
"250.124/3663.36","347794.78","238893.44","248245.61","126623.76"," 24561.89","118626.97","281745.03","336058.76"," 24561.89","149872.76"," 24561.89"," 24561.89"
"250.151/3670.4"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89"," 24561.89","215534.93"," 24561.89","139317.29"," 99814.49"
"255.159/3681.35","1420043.19","1187751.92","  24561.89","  24561.89"," 581177.90","  24561.89","  24561.89","  24561.89","1024087.20","  24561.89","  24561.89"," 640885.69"
"255.189/3678.22","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","  24561.89","1211727.05","1550070.66","  24561.89","  24561.89"," 759075.90","  24561.89"
"256.127/3450.52"," 24561.89"," 24561.89","245869.33"," 24561.89"," 24561.89"," 24561.89","249301.23","293543.93"," 24561.89"," 24561.89"," 24561.89","159465.52"
"257.131/3650.05","188817.16","224010.07","227798.27","131171.36"," 24561.89"," 24561.89","257809.43","220890.76"," 24561.89","145974.27"," 24561.89"," 24561.89"
"264.147/3154.75"," 24561.89","185347.33","165143.89"," 24561.89"," 24561.89","195963.04"," 24561.89","129476.97","150120.71","169945.46","130895.08","144776.88"
"266.1465/3669.62"," 24561.89","348338.54"," 24561.89"," 24561.89"," 24561.89"," 24561.89","223593.42"," 24561.89","312326.20"," 24561.89"," 24561.89","190006.07"
"266.188/3666.49","379553.60"," 24561.89","325662.76","245240.90","143129.52","196007.90"," 24561.89","534034.48"," 24561.89","292310.40","182876.53"," 24561.89"
