"","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"Label","KO","KO","KO","KO","KO","KO","WT","WT","WT","WT","WT","WT"
"200.1/2925.48","147887.526","451600.713","65290.385",NA,NA,"162012.439","175177.079","82619.48",NA,"69198.222","153273.469","98144.28"
"205/2790.89","1778568.944","1567038.138","1482796.385","1039129.818","1223132.352","1072037.698","1950287.489","1466780.6","1572679.161","1275312.758","1356014.334","1231442.16"
"205.983/2787.77","237993.621","269713.984","201393.415","150107.31","176989.653",NA,"276541.849",NA,NA,NA,NA,"172348.755"
"206/2792.46",NA,NA,NA,NA,NA,"156797.035",NA,"222366.155","211717.713","186850.878","188285.941",NA
"207.085/2719.69","380873.049","460629.738","351750.138",NA,NA,"235022.626","417169.585",NA,"277990.701",NA,"252874.011","236728.16"
"219.092/2524.85","235544.923",NA,NA,NA,"185792.429",NA,"244584.471","161184.045",NA,NA,"238194.379",NA
"231.024/2515.46",NA,NA,"222609.068","286232.146","435094.492",NA,NA,NA,NA,NA,NA,NA
"233.0375/3020.94","399145.34","356951.308","410550.655",NA,NA,"317805.788","397107.783",NA,"334459.927",NA,NA,NA
"236.102/2523.29","252282.035","206031.927","71763.791",NA,"186660.976","198804.282","253791.071",NA,NA,NA,"256263.261","206486.981"
"241.124/3676.66",NA,"1318746.569","1215368.739","632037.425",NA,"561964.932","1468102.639","1594705.061",NA,"805533.2","731777.647","522916.137"
"242.1405/3675.88","280767.61","248792.381",NA,"109019.428",NA,NA,"280260.239","299453.212",NA,"139748.3","139968.457","95347.854"
"244.1/2832.37","612169.852","256316.47","90539.861",NA,NA,"115505.42","627834.975",NA,"168524.487",NA,"110170.73","1352929.864"
"249.1155/3668.05",NA,"1228148.158",NA,"641881.756","536808.256","574005.708","1297985.82",NA,NA,NA,NA,"485427.604"
"249.1525/3667.27","1435000.72",NA,NA,NA,NA,NA,NA,NA,"1076654.093","747969.405","688496.327",NA
"250.124/3663.36","347794.775","238893.441","248245.61","126623.762",NA,"118626.972","281745.027","336058.763",NA,"149872.756",NA,NA
"250.151/3670.4",NA,NA,NA,NA,NA,NA,NA,NA,"215534.93",NA,"139317.286","99814.492"
"255.159/3681.35","1420043.192","1187751.921",NA,NA,"581177.903",NA,NA,NA,"1024087.203",NA,NA,"640885.69"
"255.189/3678.22",NA,NA,NA,NA,NA,NA,"1211727.055","1550070.655",NA,NA,"759075.901",NA
"256.127/3450.52",NA,NA,"245869.325",NA,NA,NA,"249301.23","293543.931",NA,NA,NA,"159465.518"
"257.131/3650.05","188817.16","224010.073","227798.27","131171.36",NA,NA,"257809.429","220890.756",NA,"145974.265",NA,NA
"264.147/3154.75",NA,"185347.325","165143.892",NA,NA,"195963.039",NA,"129476.973","150120.706","169945.459","130895.083","144776.875"
"266.1465/3669.62",NA,"348338.537",NA,NA,NA,NA,"223593.422",NA,"312326.198",NA,NA,"190006.066"
"266.188/3666.49","379553.6",NA,"325662.757","245240.897","143129.524","196007.901",NA,"534034.479",NA,"292310.404","182876.531",NA
"267.156/3666.49","1463921.08","1238442.429","1151405.917",NA,NA,"564338.971","1364214.696","1615383.641",NA,NA,NA,NA
"267.177/3672.75",NA,NA,NA,NA,"536560.993",NA,NA,NA,NA,"728041.894","651345.859","492315.921"
"268.1625/3665.7","306981.484",NA,NA,NA,NA,NA,"291569.811","323812.57","208591.49",NA,NA,NA
"268.2/3883.23",NA,NA,"272955.022",NA,NA,"86353.796",NA,"466306.587","207039.053","191819.343","115472.771",NA
"269.148/3878.54","666924.549","1237451.666",NA,NA,"499613.304",NA,"464563.232",NA,NA,NA,NA,"392467.621"
"269.1985/3882.45",NA,NA,NA,NA,NA,NA,NA,"2276576.584","784441.771","620319.011","556389.855",NA
"273.2/3678.22",NA,NA,NA,NA,NA,NA,"55768.113","175747.525","98732.345",NA,NA,NA
"279.011/2790.89","16540436.174","12335891.685","14683487.664","9660238.214","11775210.24","10293898.28","18747984.366","12952090.24",NA,NA,NA,"11984043.84"
"280.013/2787.77","2942032.958","2199151.679","2579250.433","1711820.032","2118031.592",NA,NA,NA,NA,"1865185.365",NA,"2114477.76"
"280.04/2791.68",NA,NA,NA,NA,NA,"1824953.984","3302721.353","2292925.32",NA,NA,"1991723.91",NA
"281.0275/2790.11","403697.764",NA,"364608.311",NA,"300199.865",NA,NA,NA,NA,NA,NA,"295382.795"
"281.073/2793.24",NA,NA,NA,NA,NA,NA,"476559.338","315518.085","286027.476",NA,"283748.909",NA
"281.2/3668.83","2772936.699","2553705.347",NA,"1521876.399","1061126.819","1272520.879","2219966.33","3271118.069","2267969.686","1798533.401","1370601.441","1189252.715"
"282.179/3664.14","695800.819",NA,"601572.417",NA,NA,"305437.259","540116.71",NA,"534836.411",NA,NA,NA
"282.184/3471.65",NA,NA,NA,NA,NA,NA,NA,"863350.164",NA,"419170.93","547837.995",NA
"283.2/3878.54","414367.555","880917.955","1102490.173","485863.613",NA,"479697.692",NA,"2341040.004","806746.588","671217.808","573786.614",NA
"284.1/2718.91","733321.817","939243.852","650687.012","550520.829","432174.12","524801.288","878794.63","779270.237","573395.648","577530.18","400051.298","576682.155"
"284.2/3679.79","715122.055","4301240.32",NA,"177969.805",NA,NA,"594958.901","712510.78",NA,NA,NA,NA
"286.183/3261.16","1557473.4","1463433.927",NA,NA,NA,"894860.379",NA,NA,"1305651.239",NA,"1153278.573","1195802.415"
"287.144/3254.12","381592.923","383820.557",NA,NA,NA,NA,"471955.262","357491.385",NA,"302366.611",NA,NA
"288.113/2794.03","233984.234","295667.568","323173.547",NA,NA,NA,"988202.949",NA,NA,NA,NA,"1734884.892"
"289.13/3111.71","306747.825",NA,"240938.01","206526.452",NA,"230682.632",NA,NA,"225114.295",NA,NA,NA
"294.112/2582.76",NA,"71533.461","54070.156","57688.547",NA,"64823.25",NA,"76577.427",NA,NA,NA,NA
"296.073/2726.73",NA,NA,"172459.055",NA,NA,"84544.559","180084.753",NA,"149853.352",NA,"86857.5",NA
"296.102/2726.73","136683.813",NA,NA,"134822.007","84668.49",NA,NA,"102759.465",NA,"126363.645",NA,"96876.321"
"298.152/3179","180780.817",NA,NA,"190626.85",NA,"220288.622",NA,NA,NA,NA,NA,NA
"300.189/3391.84","4534353.623",NA,"5290739.139",NA,"4733236.08","3931592.586","349660.885","491793.181","645526.705",NA,"1438254.446","1364627.844"
"301/2791.68","2739847.255","1732887.914","2330865.115","1185809.878","1908462.973","1339885.151","2844473.376","1716199.288","1636414.366","1250314.071","1576059.463","1336835.52"
"301.1885/3388.71","962353.43","1047934.141","1109303.045","946943.393","984787.205","806171.473",NA,NA,NA,NA,NA,NA
"302.0015/2623.44","643996.186","790351.629","444524.047","385833.771","399591.811","454476.256","667080.725","653312.38","343121.412","327247.192","424152.174","504934.247"
"302.003/2792.46","494305.841","319649.89","450510.294",NA,"350811.965","251603.271","525006.296","305139.005","301177.067",NA,NA,"263387.935"
"304.1/2923.92","1948205.599","1198308.819","1243865.552","1045968.567","1419171.778","1626956.843","1675019.507","1672881.472","1125530.492",NA,NA,"1501736.014"
"305.1/3502.95","557848.321","990038.126","1523254.273","748182.725","643288.347","635215.267","1196708.953","1030918.107",NA,NA,NA,"585316.92"
"305.1/2927.83","994373.818","888256.44","1063314.667","1096130.206","1246073.693","1214950.019","1681341.894","1149447.582","810315.663","859584.524","2251478.211","1721307.284"
"306.11/3501.38","125473.854","218249.826",NA,"159274.083","153809.546",NA,"266504.788","212509.622",NA,NA,NA,NA
"306.1/2928.61","215368.057","409645.01","246498.779","247480.005","265343.086",NA,"362282.186",NA,"193570.525",NA,"467150.935","374561.393"
"306.9965/2628.14",NA,"420085.788",NA,NA,"197855.365",NA,"338093.363",NA,"184048.867",NA,"184966.135","181595.761"
"308.113/3261.95","312927.856","1931395.444",NA,NA,NA,NA,"209238.895","355568",NA,"121584.975","247134.923","123431.55"
"308.14/3258.82",NA,NA,"246074.48","237549.177","146735.965","114054.478",NA,NA,NA,NA,NA,NA
"309.1/2923.92","820897.837",NA,"490685.201","258387.33","570486.873",NA,"655900.741","535264.543","450819.841","323317.105","621911.13",NA
"309.2/3671.18","474829.718","357127.85","375113.818",NA,"83873.045",NA,"406958.042","499268.323","311566.8",NA,"144582.601",NA
"310.187/3628.15","192388.209","467218.23","197712.639",NA,NA,NA,NA,NA,NA,NA,NA,NA
"310.2/3639.88","224688.464","232015.945","160971.414",NA,"131799.346","128400.294","272303.463","392738.364",NA,NA,NA,NA
"312.1/2997.47","293193.907","263174.512","296169.419",NA,"243862.619","264121.306","241411.911","288181.928","230302.35","149743.806","192635.85","211505.767"
"312.205/3866.02","219733.399","458436.955","176647.374",NA,NA,NA,NA,NA,NA,NA,NA,NA
"313/2787.76","1704155.432","6856948.35","897619.326","1642799.372","806366.754",NA,"915830.649","4877627.958","7685168.98","4134979.779","4114991.639","760122.819"
"313.179/3289.33",NA,"1075844.978",NA,NA,NA,"469316.761","1230795.815","1269568.817",NA,"564428.002","509199.445",NA
"314/2787.76","388253.14","1499485.012","171070.657","390983.008","178926.45",NA,"165809.823","1015506.867","1678104.698",NA,"823072.933",NA
"315/2520.94",NA,NA,"3525288.079","5071743.224","3617315.622","723199.466",NA,NA,"4208773.833","2914424.79","5453768.791","1544977.303"
"316/2520.94",NA,NA,"719323.363","1097369.932","795085.551","179512.956",NA,NA,"883721.247","636243.2","1163245.115","380126.449"
"317/2789.33","554864.609","154072.685","355561.335",NA,NA,"109807.662","623123.966","204779.967","285929.715",NA,NA,NA
"318.112/3247.86",NA,NA,"99212.968","127139.668",NA,NA,NA,NA,"90519.6","98147.554",NA,"147843.708"
"321.153/3663.36","297015.323",NA,NA,NA,NA,NA,NA,"422866.368","293428.123","200103.61",NA,NA
"322.117/3387.14",NA,"272654.011","378948.167","273593.949",NA,NA,NA,NA,NA,NA,NA,NA
"322.118/3502.95",NA,"1058978.48","1722624.649",NA,NA,"937782.191",NA,NA,NA,NA,NA,NA
"322.151/3507.64",NA,NA,NA,"1324834.364","650881.484",NA,NA,"1450700.37",NA,NA,"536634.537","904041.926"
"323.15/3496.69","158127.916",NA,NA,"307340.014",NA,"230601.255",NA,NA,NA,NA,NA,NA
"323.175/3507.64",NA,NA,NA,NA,NA,NA,NA,"330337.863","354443.365",NA,"136403.943",NA
"324.088/2793.24",NA,"284679.76","341633.139",NA,"264128.2","283695.318",NA,NA,NA,"224206.886",NA,"303097.266"
"324.1/2791.68","339832.022",NA,NA,NA,NA,NA,"455424.617","379752.332","303409.427",NA,NA,NA
"324.1585/3274.47",NA,NA,"186860.976","162564.375","148367.965","182694.97",NA,NA,NA,NA,NA,NA
"326.2/3419.22","4809521.448","3931304.635","2913711.547","2819100.93","3284987.281","4346409.704","259229.273","314154.323",NA,"200939.74","247976.865",NA
"327.1/3504.51",NA,"275564.807","465617.921","263114.601",NA,"202417.739","356507.684","296447.426","416275.222",NA,NA,"184970.519"
"327.2/3419.22","1108851.283","950126.529","674222.714",NA,NA,"1013977.913",NA,NA,NA,NA,NA,NA
"328.2/3632.84","6463382.867","5630552.384","4398403.515","3085430.381","3289887.968","2626186.414","402409.001","573880.805","403748.596","412858.155","385802.429","297208.544"
"329.105/3499.82",NA,"367926.805","409585.085","291867.379","259407.677","211961.166","432441.76","481405.64","382402.714","227057.789","187019.35",NA
"329.2/3626.58","1521141.362","1315446.892","990625.769","707798.716","759301.22","605854.743","114347.574",NA,NA,NA,NA,NA
"330.213/3631.27","201588.695","167042.482",NA,NA,"92547.857",NA,NA,NA,NA,NA,NA,NA
"331.118/3485.73","466357.165","279891.294",NA,"372786.981",NA,NA,NA,NA,NA,NA,NA,NA
"331.146/3484.17",NA,"490815.3","284019.33",NA,"320962.881","307401.047","839861.297","316978.812","511949.522",NA,NA,NA
"331.1785/3496.69",NA,NA,"438999.397",NA,NA,NA,NA,"402078.235",NA,"414769.746",NA,"388149.201"
"332/2520.16",NA,NA,"4658831.111","7614619.505","4486091.846","1136008.96",NA,NA,"5672069.077","4752615.703","7203558.865","2631198.276"
"333/2523.29",NA,NA,"927289.219","1587224.131","933164.794",NA,NA,NA,"1187460.471","947074.128","1580626.576","544591.99"
"334.021/2517.03",NA,NA,"208246.332","345968.558","259924.865","49142.167",NA,NA,NA,"203024.939",NA,NA
"335/2786.2","382769.556","1344842.912","190478.179","255464.745","163243.313",NA,NA,"843755.312","1435113.397","591752.315","763566.362",NA
"336/2786.2","73353.488","294165.216",NA,NA,NA,NA,NA,"187153.935","317781.235","144038.598",NA,NA
"337/2520.16",NA,NA,"4073677.526","4153687.178","4365319.814","1023976.582",NA,NA,"4694316.95","2645818.716","6391595.601","1862776.405"
"338/2515.46",NA,NA,"795295.07","868056.232","870134.048","218742.586",NA,NA,"937418.302","557510.146","1164693.072","381922.997"
"338.1/3022.51","396319.791","441040.469","411133.583","212310.15","341346.32","356067.78","364577.282","358070.435","360865.909","214432.218",NA,"556986.677"
"338.2/3668.83","614212.525","605655","622113.93","335737.549","364966.684","356312.811","557322.1","641973.075","476072.639","342120.33","339368.227","328142.859"
"338.201/3838.63",NA,"711015.495","244913.806","154551.072",NA,NA,NA,"408664.096","254368.11",NA,"420930.153",NA
"339.187/3322.98",NA,"3533684.346","3243829.359","2482697.105","2321804.123","2311412.824","3467091.654",NA,"3301294.562",NA,"2415701.395","2138854.676"
"343/2686.04","20269361.92","21948623.136","17930719.644","15378115.294","15793756.459","17800198.05","22065406.826","17773756.46",NA,"13440374.572","15108077.326","18737045.902"
"344/2684.48","4426345.384","4808488.303","3954886.762","3374426.072","3500474.555","3862062.163","4933534.99","4528604.615","3276619.294","2910182.546","3298613.411","4092027.596"
"344.135/2897.31",NA,NA,"669103.343","621011.554",NA,"475386.242",NA,"706044.224",NA,NA,NA,"532428.835"
"345.0135/2686.04","703795.376","744691.643","602322.945","508404.36","553315.796","600422.534","763241.947","611646.438",NA,NA,"524993.43","644033.317"
"346.108/3496.69","732502.016","890001.415","917425.206","952137.453",NA,"562731.599",NA,NA,NA,NA,NA,"466886.45"
"346.1525/3499.04",NA,NA,NA,NA,"472769.83",NA,"994786.158",NA,NA,"751993.204","355132.539",NA
"347.119/3496.69","202822.16",NA,"240054.653",NA,NA,"150277.454","271151.098","381682.125",NA,NA,NA,"131434.96"
"347.155/3501.38",NA,"236859.62",NA,NA,"134452.884",NA,NA,NA,"238818.793","207879.784","101642.092",NA
"348.142/3490.43","221323.833","324908.659","204324.223","187851.587",NA,NA,NA,NA,"150425.59",NA,NA,NA
"348.164/3284.64","165830.903","183665.01",NA,"134637.117",NA,"167008.053",NA,NA,NA,NA,NA,NA
"348.183/3499.82","456678.246",NA,NA,NA,NA,"140879.929","284864.719","223959.325",NA,"215002.221","121967.758","176025.28"
"349.112/3421.57","146310.305",NA,NA,NA,"110555.893","114025.195",NA,NA,NA,NA,NA,NA
"350.18/3657.88","282937.261",NA,NA,NA,NA,NA,NA,"316760.695","175073.792","113665.257",NA,NA
"351.123/3500.6","185786.687",NA,NA,NA,"120076.847","105565.09",NA,NA,"205668.513",NA,"88486.819","66543.8"
"352.1/2792.46","265882.993","181651.115","227777.569",NA,NA,NA,"269970.65","204617.524","251136.398",NA,"146512.795",NA
"353.132/3496.69","223895.037","261258.573",NA,"124798.503","128120.892","106673.072",NA,NA,NA,"127073.726","114163.62",NA
"354.2/3616.41","1135610.95","904522.365","832780.32","532867.709","570306.904","729939.966","112167.159","154475.666",NA,NA,NA,NA
