"","mz","rt","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"200.1/2925.48","200.1","2925.48",147887.526,451600.713,69829.2579860257,31731.5741502358,31522.196116867,193399.582590186,175177.079,82619.48,28034.2886971231,97762.8089616818,202685.292692958,125751.446484773
"205/2790.89","205","2790.89",1778568.944,1567038.138,1585877.78750135,1342454.57151105,1569741.33310896,1279726.69625784,1950287.489,1466780.6,1795014.02945328,1801753.77232596,1793162.01281147,1577836.55738605
"205.983/2787.77","205.983","2787.77",237993.621,269713.984,215393.931782172,193924.032431842,227144.653146017,29320.339761844,276541.849,24561.8925,28034.2886971231,34700.8858726871,32480.0789264805,220829.020714194
"206/2792.46","206","2792.46",24561.8925,24561.8925,26269.3921625295,31731.5741502358,31522.196116867,187173.783121547,24561.8925,222366.155,241648.948204486,263981.734823136,248984.976398975,31470.947774832
"207.085/2719.69","207.085","2719.69",380873.049,460629.738,376203.190301637,31731.5741502358,31522.196116867,280554.246625776,417169.585,24561.8925,317291.1682986,34700.8858726871,334394.747299529,303317.814789397
"219.092/2524.85","219.092","2524.85",235544.923,24561.8925,26269.3921625295,31731.5741502358,238441.943509324,29320.339761844,244584.471,161184.045,28034.2886971231,34700.8858726871,314982.741242924,31470.947774832
"231.024/2515.46","231.024","2515.46",24561.8925,24561.8925,238084.459747032,369784.069569562,558390.763504589,29320.339761844,24561.8925,24561.8925,28034.2886971231,34700.8858726871,32480.0789264805,31470.947774832
"233.0375/3020.94","233.0375","3020.94",399145.34,356951.308,439091.416053479,31731.5741502358,31522.196116867,379375.232687814,397107.783,24561.8925,381743.63604664,34700.8858726871,32480.0789264805,31470.947774832
"236.102/2523.29","236.102","2523.29",252282.035,206031.927,76752.6838108587,31731.5741502358,239556.617749948,237319.216927175,253791.071,24561.8925,28034.2886971231,34700.8858726871,338876.613161517,264570.044642681
"241.124/3676.66","241.124","3676.66",24561.8925,1318746.569,1299859.04086462,816530.827871328,31522.196116867,670836.041664199,1468102.639,1594705.061,28034.2886971231,1138052.19365163,967685.846324512,670008.080124277
"242.1405/3675.88","242.1405","3675.88",280767.61,248792.381,26269.3921625295,140842.488558171,31522.196116867,29320.339761844,280260.239,299453.212,28034.2886971231,197435.511502301,185091.052351837,122168.409200403
"244.1/2832.37","244.1","2832.37",612169.852,256316.47,96834.0332468236,31731.5741502358,31522.196116867,137882.622796045,627834.975,24561.8925,192349.352603533,34700.8858726871,145687.226901916,1733497.7381305
"249.1155/3668.05","249.1155","3668.05",24561.8925,1228148.158,26269.3921625295,829248.745234006,688927.985609634,685209.512410244,1297985.82,24561.8925,28034.2886971231,34700.8858726871,32480.0789264805,621974.335810883
"249.1525/3667.27","249.1525","3667.27",1435000.72,24561.8925,26269.3921625295,31731.5741502358,31522.196116867,29320.339761844,24561.8925,24561.8925,1228864.25262635,1056726.42933221,910451.629146733,31470.947774832
"250.124/3663.36","250.124","3663.36",347794.775,238893.441,265503.209156882,163585.574404937,31522.196116867,141608.922193547,281745.027,336058.763,28034.2886971231,211739.278696911,32480.0789264805,31470.947774832
"250.151/3670.4","250.151","3670.4",24561.8925,24561.8925,26269.3921625295,31731.5741502358,31522.196116867,29320.339761844,24561.8925,24561.8925,246005.81783078,34700.8858726871,184229.95887239,127891.475174537
"255.159/3681.35","255.159","3681.35",1420043.192,1187751.921,26269.3921625295,31731.5741502358,745871.02101988,29320.339761844,24561.8925,24561.8925,1168865.80705991,34700.8858726871,32480.0789264805,821161.483368073
"255.189/3678.22","255.189","3678.22",24561.8925,24561.8925,26269.3921625295,31731.5741502358,31522.196116867,29320.339761844,1211727.055,1550070.655,28034.2886971231,34700.8858726871,1003784.42645123,31470.947774832
"256.127/3450.52","256.127","3450.52",24561.8925,24561.8925,262961.728993863,31731.5741502358,31522.196116867,29320.339761844,249301.23,293543.931,28034.2886971231,34700.8858726871,32480.0789264805,204321.836717774
"257.131/3650.05","257.131","3650.05",188817.16,224010.073,243634.405963456,169460.628338279,31522.196116867,29320.339761844,257809.429,220890.756,28034.2886971231,206231.515349006,32480.0789264805,31470.947774832
"264.147/3154.75","264.147","3154.75",24561.8925,185347.325,176624.405558098,31731.5741502358,31522.196116867,233927.531611967,24561.8925,129476.973,171343.768051258,240097.866129022,173092.632293225,185501.401088226
"266.1465/3669.62","266.1465","3669.62",24561.8925,348338.537,26269.3921625295,31731.5741502358,31522.196116867,29320.339761844,223593.422,24561.8925,356480.78837601,34700.8858726871,32480.0789264805,243453.185864537
"266.188/3666.49","266.188","3666.49",379553.6,24561.8925,348302.260355693,316827.366125221,183689.303486766,233981.08485842,24561.8925,534034.479,28034.2886971231,412974.283989031,241831.697646301,31470.947774832
"267.156/3666.49","267.156","3666.49",1463921.08,1238442.429,1231449.63572859,31731.5741502358,31522.196116867,673670.010182214,1364214.696,1615383.641,28034.2886971231,34700.8858726871,32480.0789264805,31470.947774832
"267.177/3672.75","267.177","3672.75",24561.8925,24561.8925,26269.3921625295,31731.5741502358,688610.653678536,29320.339761844,24561.8925,24561.8925,28034.2886971231,1028572.96823642,861324.708947254,630800.278867327
"268.1625/3665.7","268.1625","3665.7",306981.484,24561.8925,26269.3921625295,31731.5741502358,31522.196116867,29320.339761844,291569.811,323812.57,238080.760691509,34700.8858726871,32480.0789264805,31470.947774832
"268.2/3883.23","268.2","3883.23",24561.8925,24561.8925,291930.376116167,31731.5741502358,31522.196116867,103083.369428678,24561.8925,466306.587,236308.850524485,271001.150648991,152698.523370681,31470.947774832
"269.148/3878.54","269.148","3878.54",666924.549,1237451.666,26269.3921625295,31731.5741502358,641192.796983535,29320.339761844,464563.232,24561.8925,28034.2886971231,34700.8858726871,32480.0789264805,502865.485784678
"269.1985/3882.45","269.1985","3882.45",24561.8925,24561.8925,26269.3921625295,31731.5741502358,31522.196116867,29320.339761844,24561.8925,2276576.584,895340.905603935,876382.762662492,735757.084039556,31470.947774832
"273.2/3678.22","273.2","3678.22",24561.8925,24561.8925,26269.3921625295,31731.5741502358,31522.196116867,29320.339761844,55768.113,175747.525,112690.464037898,34700.8858726871,32480.0789264805,31470.947774832
"279.011/2790.89","279.011","2790.89",16540436.174,12335891.685,15704257.9581064,12480087.4035452,15112047.5143608,12288165.2968501,18747984.366,12952090.24,28034.2886971231,34700.8858726871,32480.0789264805,15355055.3085409
"280.013/2787.77","280.013","2787.77",2942032.958,2199151.679,2758555.396733,2211504.84545386,2718235.46270892,29320.339761844,24561.8925,24561.8925,28034.2886971231,2635122.04860726,32480.0789264805,2709262.69854832
"280.04/2791.68","280.04","2791.68",24561.8925,24561.8925,26269.3921625295,31731.5741502358,31522.196116867,2178507.65614298,3302721.353,2292925.32,28034.2886971231,34700.8858726871,2633809.66253143,31470.947774832
"281.0275/2790.11","281.0275","2790.11",403697.764,24561.8925,389955.240923577,31731.5741502358,385269.946881618,29320.339761844,24561.8925,24561.8925,28034.2886971231,34700.8858726871,32480.0789264805,378471.50886394
"281.073/2793.24","281.073","2793.24",24561.8925,24561.8925,26269.3921625295,31731.5741502358,31522.196116867,29320.339761844,476559.338,315518.085,326464.128832639,34700.8858726871,375222.998782473,31470.947774832
"281.2/3668.83","281.2","3668.83",2772936.699,2553705.347,26269.3921625295,1966116.16154424,1361826.97214334,1519050.07019799,2219966.33,3271118.069,2588600.08175867,2540956.57679134,1812451.66594667,1523779.57377845
"282.179/3664.14","282.179","3664.14",695800.819,24561.8925,643392.675720476,31731.5741502358,31522.196116867,364610.512394611,540116.71,24561.8925,610448.008096573,34700.8858726871,32480.0789264805,31470.947774832
"282.184/3471.65","282.184","3471.65",24561.8925,24561.8925,26269.3921625295,31731.5741502358,31522.196116867,29320.339761844,24561.8925,863350.164,28034.2886971231,592202.030160262,724448.30204044,31470.947774832
"283.2/3878.54","283.2","3878.54",414367.555,880917.955,1179133.35504876,627688.491951952,31522.196116867,572630.928679963,24561.8925,2341040.004,920799.028552503,948292.260098574,758762.15603818,31470.947774832
"284.1/2718.91","284.1","2718.91",733321.817,939243.852,695921.631172863,711219.321013752,554642.821894707,626472.5762322,878794.63,779270.237,654458.492304938,815930.97373146,529018.589820836,738898.030055402
"284.2/3679.79","284.2","3679.79",715122.055,4301240.32,26269.3921625295,229919.663717301,31522.196116867,29320.339761844,594958.901,712510.78,28034.2886971231,34700.8858726871,32480.0789264805,31470.947774832
"286.183/3261.16","286.183","3261.16",1557473.4,1463433.927,26269.3921625295,31731.5741502358,31522.196116867,1068224.29711768,24561.8925,24561.8925,1490235.48457768,34700.8858726871,1525068.92843289,1532171.64970016
"287.144/3254.12","287.144","3254.12",381592.923,383820.557,26269.3921625295,31731.5741502358,31522.196116867,29320.339761844,471955.262,357491.385,28034.2886971231,427181.629429498,32480.0789264805,31470.947774832
"288.113/2794.03","288.113","2794.03",233984.234,295667.568,345640.004844848,31731.5741502358,31522.196116867,29320.339761844,988202.949,24561.8925,28034.2886971231,34700.8858726871,32480.0789264805,2222893.5262817
"289.13/3111.71","289.13","3111.71",306747.825,24561.8925,257687.59762911,266812.071815032,31522.196116867,275373.452896451,24561.8925,24561.8925,256939.449428798,34700.8858726871,32480.0789264805,31470.947774832
"294.112/2582.76","294.112","2582.76",24561.8925,71533.461,57829.0183565108,74527.9870738731,31522.196116867,77381.6477890275,24561.8925,76577.427,28034.2886971231,34700.8858726871,32480.0789264805,31470.947774832
"296.073/2726.73","296.073","2726.73",24561.8925,24561.8925,184448.105852358,31731.5741502358,31522.196116867,100923.623653807,180084.753,24561.8925,171038.617329654,34700.8858726871,114858.350404261,31470.947774832
"296.102/2726.73","296.102","2726.73",136683.813,24561.8925,26269.3921625295,174176.908892672,108661.689920636,29320.339761844,24561.8925,102759.465,28034.2886971231,178525.755847264,32480.0789264805,124126.821205201
"298.152/3179","298.152","3179",180780.817,24561.8925,26269.3921625295,246271.333766357,31522.196116867,262965.780943322,24561.8925,24561.8925,28034.2886971231,34700.8858726871,32480.0789264805,31470.947774832
"300.189/3391.84","300.189","3391.84",4534353.623,24561.8925,5658542.03913784,31731.5741502358,6074531.75610108,4693271.51507837,349660.885,491793.181,736786.956040647,34700.8858726871,1901914.43604932,1748486.26222941
"301/2791.68","301","2791.68",2739847.255,1732887.914,2492902.76732114,1531950.93056608,2449279.67650234,1599465.01960994,2844473.376,1716199.288,1867759.69174865,1766435.78595525,2084144.6053502,1712876.18954689
"301.1885/3388.71","301.1885","3388.71",962353.43,1047934.141,1186419.84595418,1223358.68423231,1263854.37968151,962353.43,24561.8925,24561.8925,28034.2886971231,34700.8858726871,32480.0789264805,31470.947774832
"302.0015/2623.44","302.0015","2623.44",643996.186,790351.629,475426.578644853,498459.673420995,512827.398500994,542523.270127121,667080.725,653312.38,391629.6239051,462332.756392828,560889.031183501,646968.034611385
"302.003/2792.46","302.003","2792.46",494305.841,319649.89,481828.979030929,31731.5741502358,450224.410064229,300347.108469403,525006.296,305139.005,343755.467752771,34700.8858726871,32480.0789264805,337476.761894705
"304.1/2923.92","304.1","2923.92",1948205.599,1198308.819,1330336.90229485,1351289.56950595,1821334.04865439,1942151.95000211,1675019.507,1672881.472,1284650.47024137,34700.8858726871,32480.0789264805,1924161.81563283
"305.1/3502.95","305.1","3502.95",557848.321,990038.126,1629148.23687489,966579.249390614,825582.207634417,758277.378274108,1196708.953,1030918.107,28034.2886971231,34700.8858726871,32480.0789264805,749961.682351859
"305.1/2927.83","305.1","2927.83",994373.818,888256.44,1137234.43662138,1416093.52414527,1599183.74884243,1450325.83913226,1681341.894,1149447.582,924872.675521346,1214415.56122974,2977302.7462982,2205496.6505208
"306.11/3501.38","306.11","3501.38",125473.854,218249.826,26269.3921625295,205766.610814916,197395.81034557,29320.339761844,266504.788,212509.622,28034.2886971231,34700.8858726871,32480.0789264805,31470.947774832
"306.1/2928.61","306.1","2928.61",215368.057,409645.01,263634.941531304,319720.075696863,340535.518390805,29320.339761844,362282.186,24561.8925,220936.232055558,34700.8858726871,617749.598870655,479922.385360628
"306.9965/2628.14","306.9965","2628.14",24561.8925,420085.788,26269.3921625295,31731.5741502358,253923.251976789,29320.339761844,338093.363,24561.8925,210068.465687504,34700.8858726871,244594.941677481,232677.132291898
"308.113/3261.95","308.113","3261.95",312927.856,1931395.444,26269.3921625295,31731.5741502358,31522.196116867,29320.339761844,209238.895,355568,28034.2886971231,171774.481193113,326805.509979725,158151.814393641
"308.14/3258.82","308.14","3258.82",24561.8925,24561.8925,263181.146009434,306890.412630174,188317.731059516,136150.585559308,24561.8925,24561.8925,28034.2886971231,34700.8858726871,32480.0789264805,31470.947774832
"309.1/2923.92","309.1","2923.92",820897.837,24561.8925,524796.775061962,333811.277831154,732150.386734419,29320.339761844,655900.741,535264.543,514553.736972227,456780.354416607,822400.903662316,31470.947774832
"309.2/3671.18","309.2","3671.18",474829.718,357127.85,401191.072333929,31731.5741502358,107640.833189414,29320.339761844,406958.042,499268.323,355614.031762365,34700.8858726871,191192.689727627,31470.947774832
"310.187/3628.15","310.187","3628.15",192388.209,467218.23,211457.274694107,31731.5741502358,31522.196116867,29320.339761844,24561.8925,24561.8925,28034.2886971231,34700.8858726871,32480.0789264805,31470.947774832
"310.2/3639.88","310.2","3639.88",224688.464,232015.945,172161.864209889,31731.5741502358,169148.400624537,153275.65844532,272303.463,392738.364,28034.2886971231,34700.8858726871,32480.0789264805,31470.947774832
"312.1/2997.47","312.1","2997.47",293193.907,263174.512,316758.597256278,31731.5741502358,312967.956426437,315290.298997196,241411.911,288181.928,262860.956969251,211557.098955131,254737.195518206,271000.573238922
"312.205/3866.02","312.205","3866.02",219733.399,458436.955,188927.589439088,31731.5741502358,31522.196116867,29320.339761844,24561.8925,24561.8925,28034.2886971231,34700.8858726871,32480.0789264805,31470.947774832
