"","mz","rt","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"200.1/2925.48","200.1","2925.48",71.9692522504148,958.820780340413,-169.216853085588,-288.145261058953,-288.145261058953,113.214417802572,151.65555766903,-118.615380910569,-288.145261058953,-157.805852960076,87.6963658042811,-73.2825037336174
"205/2790.89","205","2790.89",688.865766741179,284.809720990417,123.895146664575,-723.575546062023,-372.102691105095,-660.716484924419,1016.87433242865,93.3025588563747,295.584933785518,-272.430170999303,-118.277873747551,-356.229692628324
"205.983/2787.77","205.983","2787.77",323.467283745933,422.123926200404,209.633358292369,50.1233639121828,133.732801221884,-340.347872690462,443.359945347864,-340.347872690462,-340.347872690462,-340.347872690462,-340.347872690462,119.298684731676
"206/2792.46","206","2792.46",-236.629052758614,-236.629052758614,-236.629052758614,-236.629052758614,-236.629052758614,208.679818334227,-236.629052758614,429.48731514432,393.628120710302,309.887732095362,314.720383026087,-236.629052758614
"207.085/2719.69","207.085","2719.69",382.104791193568,578.805912268602,310.279978572918,-496.652900654595,-496.652900654595,22.3990151254582,471.621663218438,-496.652900654595,128.369669485698,-496.652900654595,66.4252590213406,26.6053137323574
"219.092/2524.85","219.092","2524.85",419.584302818943,-248.822091441017,-248.822091441017,-248.822091441017,261.965535844315,-248.822091441017,448.222111604327,184.004757771197,-248.822091441017,-248.822091441017,427.977932048335,-248.822091441017
"231.024/2515.46","231.024","2515.46",-194.381550149362,-194.381550149362,336.455092870309,506.987497883572,905.991360590379,-194.381550149362,-194.381550149362,-194.381550149362,-194.381550149362,-194.381550149362,-194.381550149362,-194.381550149362
"233.0375/3020.94","233.0375","3020.94",474.075504478289,375.145962682572,500.816788340088,-404.185402785447,-404.185402785447,283.364064309952,469.298180035992,-404.185402785447,322.411916865787,-404.185402785447,-404.185402785447,-404.185402785447
"236.102/2523.29","236.102","2523.29",340.848632029205,195.001467998443,-228.405691511252,-377.254274374947,133.916242685481,172.209488228988,345.607293804012,-377.254274374947,-377.254274374947,-377.254274374947,353.403208582097,196.436455682815
"241.124/3676.66","241.124","3676.66",-960.884000065644,768.266795849297,630.144424080928,-149.240330043232,-960.884000065644,-242.863681673678,967.820361893414,1136.9729432376,-960.884000065644,82.566121444396,-15.9781400423042,-295.036494549484
"242.1405/3675.88","242.1405","3675.88",421.596940092716,325.169126575785,-351.043567002996,-96.3446723275716,-351.043567002996,-351.043567002996,420.066859536549,477.947177493912,-351.043567002996,-3.67550211454059,-3.0115738549354,-137.574087389929
"244.1/2832.37","244.1","2832.37",516.582351209964,-47.046727322959,-309.616993896912,-414.118183066808,-414.118183066808,-270.074542634697,541.394027277146,-414.118183066808,-186.09869924118,-414.118183066808,-278.52405178945,1689.85736866532
"249.1155/3668.05","249.1155","3668.05",-559.950486271072,1191.74636491192,-559.950486271072,338.495509717791,185.571764766021,239.708856064052,1293.38794734437,-559.950486271072,-559.950486271072,-559.950486271072,-559.950486271072,110.79247482228
"249.1525/3667.27","249.1525","3667.27",1530.5868701718,-450.660645354519,-450.660645354519,-450.660645354519,-450.660645354519,-450.660645354519,-450.660645354519,-450.660645354519,1027.21632293622,565.511987523241,481.969982204898,-450.660645354519
"250.124/3663.36","250.124","3663.36",525.417578668966,217.158945691461,243.631411412722,-100.634202493144,-389.532889181394,-123.270101091119,338.455635420514,492.19735185588,-389.532889181394,-34.825062739703,-389.532889181394,-389.532889181394
"250.151/3670.4","250.151","3670.4",-126.818314322222,-126.818314322222,-126.818314322222,-126.818314322222,-126.818314322222,-126.818314322222,-126.818314322222,-126.818314322222,636.018995397675,-126.818314322222,331.569407836662,173.776425665662
"255.159/3681.35","255.159","3681.35",1371.53464288334,1053.32730781025,-540.084263615436,-540.084263615436,222.403696425995,-540.084263615436,-540.084263615436,-540.084263615436,829.128983284014,-540.084263615436,-540.084263615436,304.195214904457
"255.189/3678.22","255.189","3678.22",-388.572380642597,-388.572380642597,-388.572380642597,-388.572380642597,-388.572380642597,-388.572380642597,1217.25684239096,1674.92023874789,-388.572380642597,-388.572380642597,604.974344644517,-388.572380642597
"256.127/3450.52","256.127","3450.52",-214.88311170321,-214.88311170321,456.538208434077,-214.88311170321,-214.88311170321,-214.88311170321,466.950213849601,601.177484828669,-214.88311170321,-214.88311170321,-214.88311170321,194.398986513334
"257.131/3650.05","257.131","3650.05",200.395699948425,313.761072608432,325.963823901413,14.7038363824777,-328.712521684341,-328.712521684341,422.637441796974,303.712954848197,-328.712521684341,62.3877789357891,-328.712521684341,-328.712521684341
"264.147/3154.75","264.147","3154.75",-341.16443228242,271.063095341495,194.133875804735,-341.16443228242,-341.16443228242,311.484868851247,-341.16443228242,58.3238754968246,136.929638587447,212.416946897824,63.7236555994079,116.581772550702
"266.1465/3669.62","266.1465","3669.62",-228.936631543753,682.412585335266,-228.936631543753,-228.936631543753,-228.936631543753,-228.936631543753,331.286694089169,-228.936631543753,581.04697573018,-228.936631543753,-228.936631543753,236.746797195411
"266.188/3666.49","266.188","3666.49",443.613934739105,-432.252370793965,310.649776525712,112.225993901725,-139.712034882847,-9.24592052840113,-432.252370793965,824.76254724643,-432.252370793965,228.359960775734,-41.6447746015989,-432.252370793965
"267.156/3666.49","267.156","3666.49",1014.5472852743,740.638691963447,634.907845770814,-733.967922567611,-733.967922567611,-78.2536027521288,893.425239952361,1198.54207519687,-733.967922567611,-733.967922567611,-733.967922567611,-733.967922567611
"267.177/3672.75","267.177","3672.75",-357.572747003526,-357.572747003526,-357.572747003526,-357.572747003526,593.469174202407,-357.572747003526,-357.572747003526,-357.572747003526,-357.572747003526,949.146291180629,806.682868092491,511.283642552679
"268.1625/3665.7","268.1625","3665.7",544.827651490376,-238.781664191225,-238.781664191225,-238.781664191225,-238.781664191225,-238.781664191225,502.065991547111,591.527654534032,271.832015958282,-238.781664191225,-238.781664191225,-238.781664191225
"268.2/3883.23","268.2","3883.23",-266.830756387812,-266.830756387812,400.08493008184,-266.830756387812,-266.830756387812,-100.924437545893,-266.830756387812,919.218418039109,223.105825211118,182.242121118534,-22.7423185778339,-266.830756387812
"269.148/3878.54","269.148","3878.54",614.999071338802,1536.30189209735,-422.305746870923,-422.305746870923,344.82028864805,-422.305746870923,288.220472023751,-422.305746870923,-422.305746870923,-422.305746870923,-422.305746870923,171.798503988512
"269.1985/3882.45","269.1985","3882.45",-423.13612590281,-423.13612590281,-423.13612590281,-423.13612590281,-423.13612590281,-423.13612590281,-423.13612590281,2339.2654869878,508.959659215438,307.64082295417,229.223038065072,-423.13612590281
"273.2/3678.22","273.2","3678.22",-99.083677834369,-99.083677834369,-99.083677834369,-99.083677834369,-99.083677834369,-99.083677834369,45.5374312919027,601.566176770962,244.649492446455,-99.083677834369,-99.083677834369,-99.083677834369
"279.011/2790.89","279.011","2790.89",2601.56971295415,949.205040608515,1871.79836095244,-102.313211246374,728.860074683787,146.711982820161,3469.12496287585,1191.36794936028,-3889.08516465499,-3889.08516465499,-3889.08516465499,810.930620956168
"280.013/2787.77","280.013","2787.77",1513.03196078223,826.674994313799,1177.85281387744,376.423412595068,751.727168319419,-1182.45471640458,-1182.45471640458,-1182.45471640458,-1182.45471640458,518.119492029183,-1182.45471640458,748.443740105772
"280.04/2791.68","280.04","2791.68",-709.290288335187,-709.290288335187,-709.290288335187,-709.290288335187,-709.290288335187,935.96210900841,2286.39033963774,1363.60837899431,-709.290288335187,-709.290288335187,1088.36147904103,-709.290288335187
"281.0275/2790.11","281.0275","2790.11",688.102576741089,-265.19299217036,589.816434127775,-265.19299217036,427.868460359557,-265.19299217036,-265.19299217036,-265.19299217036,-265.19299217036,-265.19299217036,-265.19299217036,415.756466134457
"281.073/2793.24","281.073","2793.24",-261.000318804119,-261.000318804119,-261.000318804119,-261.000318804119,-261.000318804119,-261.000318804119,859.331067601848,460.170470482845,387.074360768379,-261.000318804119,381.426651579879,-261.000318804119
"281.2/3668.83","281.2","3668.83",1056.71147599547,824.098725722443,-1859.41806792608,-270.710785855102,-759.583504164764,-535.286416912474,469.989015092247,1585.30073822145,520.922390084594,22.8327494578152,-431.219233697072,-623.637086018531
"282.179/3664.14","282.179","3664.14",870.685880428322,-404.472310917084,691.679398646625,-404.472310917084,-404.472310917084,129.108967223551,574.931479102401,-404.472310917084,564.900451018688,-404.472310917084,-404.472310917084,-404.472310917084
"282.184/3471.65","282.184","3471.65",-275.574596403493,-275.574596403493,-275.574596403493,-275.574596403493,-275.574596403493,-275.574596403493,-275.574596403493,1303.42401226256,-275.574596403493,467.267360679775,709.479994689101,-275.574596403493
"283.2/3878.54","283.2","3878.54",-298.850211951581,286.696950872483,564.782627383606,-209.118611860777,-788.078384791279,-216.857191760714,-788.078384791279,2119.23277801744,193.607686540843,23.5113955291821,-98.7702683966468,-788.078384791279
"284.1/2718.91","284.1","2718.91",240.912465287654,743.967972062984,39.0404620969538,-205.659673810383,-494.773773091635,-268.491010591723,596.294052623598,353.161772209207,-149.777826758712,-139.67740651695,-573.247951439104,-141.74908207189
"284.2/3679.79","284.2","3679.79",144.31718457895,3399.73768901064,-482.562228319102,-343.300991798069,-482.562228319102,-482.562228319102,35.235005324947,141.946711117247,-482.562228319102,-482.562228319102,-482.562228319102,-482.562228319102
"286.183/3261.16","286.183","3261.16",1120.7355788468,1005.46556827088,-758.249064989699,-758.249064989699,-758.249064989699,308.529730581219,-758.249064989699,-758.249064989699,812.06154829666,-758.249064989699,625.288927598313,677.413036344316
"287.144/3254.12","287.144","3254.12",484.419279735391,489.578458217326,-342.461082989543,-342.461082989543,-342.461082989543,-342.461082989543,693.697570040731,428.600354260596,-342.461082989543,300.931918672755,-342.461082989543,-342.461082989543
"288.113/2794.03","288.113","2794.03",-107.806354609587,-22.9178014098414,14.9359041251512,-396.013207657415,-396.013207657415,-396.013207657415,930.148816758444,-396.013207657415,-396.013207657415,-396.013207657415,-396.013207657415,1957.73188873774
"289.13/3111.71","289.13","3111.71",566.628297170565,-267.955510986243,371.991358574077,270.2168694427,-267.955510986243,341.660390798681,-267.955510986243,-267.955510986243,325.191660917682,-267.955510986243,-267.955510986243,-267.955510986243
"294.112/2582.76","294.112","2582.76",-114.624252127468,205.406903517173,86.4242538207972,111.077419348028,-114.624252127468,159.68825605601,-114.624252127468,239.772932150266,-114.624252127468,-114.624252127468,-114.624252127468,-114.624252127468
"296.073/2726.73","296.073","2726.73",-182.641467576921,-182.641467576921,405.655962438093,-182.641467576921,-182.641467576921,55.9543780154355,435.989056458545,-182.641467576921,315.736204994587,-182.641467576921,65.1546711317849,-182.641467576921
"296.102/2726.73","296.102","2726.73",305.752088925006,-201.708254452087,-201.708254452087,297.325612569193,70.3323462668302,-201.708254452087,-201.708254452087,152.211539421807,-201.708254452087,259.043327840332,-201.708254452087,125.584611689358
"298.152/3179","298.152","3179",403.282344506034,-153.989382098433,-153.989382098433,438.405591114447,-153.989382098433,544.216503265414,-153.989382098433,-153.989382098433,-153.989382098433,-153.989382098433,-153.989382098433,-153.989382098433
"300.189/3391.84","300.189","3391.84",1823.38317900979,-1303.3841265201,2347.80684270367,-1303.3841265201,1961.27406208215,1405.47175068537,-1077.98371746462,-979.439340528742,-872.851501148896,-1303.3841265201,-323.230735741498,-374.278160036929
"301/2791.68","301","2791.68",1255.02617595742,-89.3862771559369,708.985576571443,-819.801592329223,145.027652150582,-614.092476475219,1394.71469590666,-111.667610379849,-218.190126572961,-733.680696662168,-298.771218475905,-618.164102534846
"301.1885/3388.71","301.1885","3388.71",652.109815259705,772.919972213572,859.551490434152,630.356210190511,683.778492081258,431.635288721453,-671.725211483442,-671.725211483442,-671.725211483442,-671.725211483442,-671.725211483442,-671.725211483442
"302.0015/2623.44","302.0015","2623.44",364.472426161825,743.385587330437,-151.959468711772,-303.908159878785,-268.288695914714,-126.19327310263,424.23812716558,388.591983632606,-414.490141921357,-455.588380278546,-204.702097473147,4.44209299050122
"302.003/2792.46","302.003","2792.46",516.221416857743,99.514942856351,411.730915029195,-604.526793221434,173.863617043908,-62.8354752591252,589.468725523958,64.8938509990819,55.4411801639946,-604.526793221434,-604.526793221434,-34.718793550804
"304.1/2923.92","304.1","2923.92",944.808883135082,-13.5317797010322,44.6880591678157,-208.217051023707,268.72300544954,534.264720296675,595.687047347379,592.954716800411,-106.539820270673,-1513.53743053722,-1513.53743053722,374.237079872952
"305.1/3502.95","305.1","3502.95",-155.487644362666,469.496123502235,1240.57270324355,119.752334901167,-31.9339909488494,-43.6083615570935,768.359980705472,528.612105091911,-926.6658572202,-926.6658572202,-926.6658572202,-115.765678915124
"305.1/2927.83","305.1","2927.83",-387.372589850634,-549.418999990432,-282.096552098929,-231.985624068343,-3.0146086688338,-50.5419763546558,661.661156501864,-150.567391336718,-668.43836660498,-593.202413670611,1532.28711052964,722.690255612634
"306.11/3501.38","306.11","3501.38",60.8221990266171,365.164405976581,-270.209299846386,171.700436866843,153.774575087246,-270.209299846386,523.459935678674,346.334246442353,-270.209299846386,-270.209299846386,-270.209299846386,-270.209299846386
"306.1/2928.61","306.1","2928.61",-57.8484248468471,439.492361710736,21.8449074115884,24.3568044899349,70.08553668228,-546.304139573161,318.245534549779,-546.304139573161,-113.649185268975,-546.304139573161,586.705098628745,349.679785362243
"306.9965/2628.14","306.9965","2628.14",-305.968350467385,762.406096270572,-305.968350467385,-305.968350467385,162.125536935903,-305.968350467385,540.93120513829,-305.968350467385,124.831937661725,-305.968350467385,127.309627892733,118.205698905085
