"","mz","rt","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"200.1/2925.48","200.1","2925.48",56235.7077083333,300773.102916667,58337.6557916666,24561.8925,24561.8925,178158.501375,140632.538416667,61867.1042916666,24561.8925,217992.171666667,192740.190875,148576.551708333
"205/2790.89","205","2790.89",1504725.98433333,1142504.9685,1311531.95258333,1209964.82133333,1297903.92866667,1331414.25075,1743378.084,1107183.28516667,1696530.79216667,1882424.049,1574542.57616667,1379369.81933333
"205.983/2787.77","205.983","2787.77",164560.076291667,158499.815375,136203.38775,196789.228875,187859.857541667,24561.8925,238779.18,24561.8925,24561.8925,24561.8925,24561.8925,206053.660083333
"206/2792.46","206","2792.46",24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,169310.670041667,24561.8925,155617.294208333,249539.677166667,310572.79225,246343.3415,24561.8925
"207.085/2719.69","207.085","2719.69",289275.21575,308030.253,300773.102916667,24561.8925,24561.8925,316898.055083333,355811.052583333,24561.8925,310572.79225,24561.8925,316898.055083333,257224.127
"219.092/2524.85","219.092","2524.85",161353.192708333,24561.8925,24561.8925,24561.8925,200518.993791667,24561.8925,178158.501375,98643.8707916667,24561.8925,24561.8925,286378.47925,24561.8925
"231.024/2515.46","231.024","2515.46",24561.8925,24561.8925,178158.501375,355811.052583333,433049.166333333,24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,24561.8925
"233.0375/3020.94","233.0375","3020.94",310572.79225,233142.38825,392125.214916667,24561.8925,24561.8925,392125.214916667,337585.133833333,24561.8925,441188.461166667,24561.8925,24561.8925,24561.8925
"236.102/2523.29","236.102","2523.29",169310.670041667,72934.5360416667,60194.779125,24561.8925,206053.660083333,246343.3415,196789.228875,24561.8925,24561.8925,24561.8925,325562.817833333,230708.954833333
"241.124/3676.66","241.124","3676.66",24561.8925,927669.687583333,1046500.93533333,683453.054083333,24561.8925,613472.556,1297903.92866667,1238358.34966667,24561.8925,1209964.82133333,872681.728916667,571033.763166667
"242.1405/3675.88","242.1405","3675.88",196789.228875,112306.5915,24561.8925,148576.551708333,24561.8925,24561.8925,241165.059583333,225435.603,24561.8925,262038.101833333,174574.711291667,136203.38775
"244.1/2832.37","244.1","2832.37",566472.98675,128038.799,65605.2777083333,24561.8925,24561.8925,124230.707333333,592148.997416667,24561.8925,215214.84275,24561.8925,140632.538416667,1574542.57616667
"249.1155/3668.05","249.1155","3668.05",24561.8925,834012.779916667,24561.8925,705927.746833334,515170.978416667,641146.848166667,1107183.28516667,24561.8925,24561.8925,24561.8925,24561.8925,507350.9075
"249.1525/3667.27","249.1525","3667.27",1176827.36308333,24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,1176827.36308333,1046500.93533333,818397.668916667,24561.8925
"250.124/3663.36","250.124","3663.36",262038.101833333,108485.247875,226816.641416667,172390.569791667,24561.8925,128038.799,243471.0675,273658.0695,24561.8925,286378.47925,24561.8925,24561.8925
"250.151/3670.4","250.151","3670.4",24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,257224.127,24561.8925,172390.569791667,155617.294208333
"255.159/3681.35","255.159","3681.35",1142504.9685,771316.697583333,24561.8925,24561.8925,571033.763166667,24561.8925,24561.8925,24561.8925,1107183.28516667,24561.8925,24561.8925,785094.608833333
"255.189/3678.22","255.189","3678.22",24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,24561.8925,1046500.93533333,1176827.36308333,24561.8925,24561.8925,927669.687583333,24561.8925
"256.127/3450.52","256.127","3450.52",24561.8925,24561.8925,215214.84275,24561.8925,24561.8925,24561.8925,184508.611625,212276.47125,24561.8925,24561.8925,24561.8925,200518.993791667
"257.131/3650.05","257.131","3650.05",86809.8726666667,86809.8726666667,187859.857541667,178158.501375,24561.8925,24561.8925,200518.993791667,151452.677625,24561.8925,276881.347083333,24561.8925,24561.8925
"264.147/3154.75","264.147","3154.75",24561.8925,65605.2777083333,90964.697375,24561.8925,24561.8925,238779.18,24561.8925,76483.7479583333,196789.228875,297280.472416667,161353.192708333,184508.611625
"266.1465/3669.62","266.1465","3669.62",24561.8925,226816.641416667,24561.8925,24561.8925,24561.8925,24561.8925,169310.670041667,24561.8925,382280.787,24561.8925,24561.8925,221244.655
"266.188/3666.49","266.188","3666.49",286378.47925,24561.8925,283364.751833333,286378.47925,155617.294208333,241165.059583333,24561.8925,464878.074583333,24561.8925,464878.074583333,233142.38825,24561.8925
