"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Ctrl1_neg"	"Ctrl2_neg"	"Ctrl3_neg"	"Ctrl4_neg"	"Ctrl5_neg"	"Ab1_neg"	"Ab2_neg"	"Ab3_neg"	"Ab4_neg"	"Ab5_neg"	"Sort1_neg"	"Sort2_neg"	"Sort3_neg"	"Sort4_neg"	"Sort5_neg"	"Ab+Sort1_neg"	"Ab+Sort2_neg"	"Ab+Sort3_neg"	"Ab+Sort4_neg"	"Ab+Sort5_neg"
"CHEBI:17202"	"C10H13N4O8P"	"O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O"	"InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"	"Inosine 5'-monophosphate (IMP)"	"348.046"	""	""	"negative"	"0.24412127"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"5426183"	"5991088"	"7717718"	"8612450"	"7203798"	"6031306"	"7025290"	"5755462"	"9006708"	"8171638"	"2801078"	"5917181"	"15726024"	"3887523"	"5003216"	"5197312"	"5093217"	"2303014"	"1160924"	"2570561"
"CHEBI:16264"	"C17H27N3O17P2"	"CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O"	"InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1"	"UDP-N-acetyglucosamine"	"607.0798"	""	""	"negative"	"0.24587052"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"10687"	"3090"	"3374.135212"	"3802"	"3563.110956"	"0"	"9118"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5308"	"0"	"0"	"0"	"0"	"0"
"CHEBI:67168"	"C17H27N3O17P2"	"CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O"	"InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11+,12-,13-,14-,15-,16-/m1/s1"	"UDP-N-acetygalactosamine"	"607.0798"	""	""	"negative"	"0.24587052"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"10687"	"3090"	"3374.135212"	"3802"	"3563.110956"	"0"	"9118"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5308"	"0"	"0"	"0"	"0"	"0"
"CHEBI:68678"	"C17H27N3O17P2"	"CC(=O)N[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O"	"InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10+,11-,12-,13-,14-,15-,16-/m1/s1"	"UDP-N-acetymannosamine"	"607.0798"	""	""	"negative"	"0.24587052"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"10687"	"3090"	"3374.135212"	"3802"	"3563.110956"	"0"	"9118"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5308"	"0"	"0"	"0"	"0"	"0"
"CHEBI:18066"	"C15H24N2O17P2"	"OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O"	"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14?/m1/s1"	"UDP-glucose"	"566.0536"	""	""	"negative"	"0.25002858"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"6762"	"2094"	"2094"	"41847"	"13977.71301"	"8215"	"20824"	"8215"	"17202.80633"	"23954"	"13474"	"22071"	"13474"	"13474"	"10021"
"CHEBI:67119"	"C15H24N2O17P2"	"OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@H]1O"	"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8+,9-,10+,11-,12-,13-,14-/m1/s1"	"UDP-galactose"	"566.0536"	""	""	"negative"	"0.25002858"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"6762"	"2094"	"2094"	"41847"	"13977.71301"	"8215"	"20824"	"8215"	"17202.80633"	"23954"	"13474"	"22071"	"13474"	"13474"	"10021"
"CSID 1131"	"C15H24N2O17P2"	"c1cn(c(=O)[nH]c1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(O3)C(CO)O)O)O)O)O"	"InChI=1/C15H24N2O17P2/c18-3-5(19)12-9(22)11(24)14(32-12)33-36(28,29)34-35(26,27)30-4-6-8(21)10(23)13(31-6)17-2-1-7(20)16-15(17)25/h1-2,5-6,8-14,18-19,21-24H,3-4H2,(H,26,27)(H,28,29)(H,16,20,25)"	"UDP-galactofuranose"	"566.0536"	""	""	"negative"	"0.25002858"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"6762"	"2094"	"2094"	"41847"	"13977.71301"	"8215"	"20824"	"8215"	"17202.80633"	"23954"	"13474"	"22071"	"13474"	"13474"	"10021"
"CHEBI:35425"	"C5H11O8P"	"OC[C@H]1OC(OP(O)(O)=O)[C@H](O)[C@@H]1O"	"InChI=1S/C5H11O8P/c6-1-2-3(7)4(8)5(12-2)13-14(9,10)11/h2-8H,1H2,(H2,9,10,11)/t2-,3-,4-,5?/m1/s1"	"Ribose 1-p"	"230.0183"	""	""	"negative"	"0.25437087"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"37589"	"0"	"0"	"54804"	"9523"	"19690"	"9523"	"9523"
"CHEBI:78679"	"C5H11O8P"	""	""	"Ribose 5-p"	"230.0183"	""	""	"negative"	"0.25437087"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"37589"	"0"	"0"	"54804"	"9523"	"19690"	"9523"	"9523"
"CHEBI:37455"	"C5H11O8P"	""	""	"Ribulose 5-p"	"230.0183"	""	""	"negative"	"0.25437087"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"37589"	"0"	"0"	"54804"	"9523"	"19690"	"9523"	"9523"
